datetime,date,time,price,volume
20220225 151930,20220225,151930,11.0,1
20220225 151934,20220225,151934,11.0,1
20220225 151934,20220225,151934,11.0,1
20220225 151943,20220225,151943,11.0,1
20220225 151943,20220225,151943,11.0,1
20220225 151944,20220225,151944,11.0,1
20220225 151944,20220225,151944,11.0,1
20220225 151952,20220225,151952,11.0,1
20220225 151952,20220225,151952,11.0,1
20220225 151953,20220225,151953,11.0,1
20220225 151953,20220225,151953,11.0,1
20220225 151958,20220225,151958,11.0,1
20220225 151958,20220225,151958,11.0,1
20220225 152135,20220225,152135,11.5,4
20220225 152135,20220225,152135,11.5,4
20220225 152149,20220225,152149,11.0,10
20220225 152149,20220225,152149,11.0,1
20220225 152149,20220225,152149,11.0,9
20220225 152223,20220225,152223,11.0,1
20220225 152223,20220225,152223,11.0,1
20220225 152245,20220225,152245,11.0,19
20220225 152245,20220225,152245,11.0,19
20220225 152302,20220225,152302,11.0,1
20220225 152302,20220225,152302,11.0,1
20220225 152345,20220225,152345,11.5,2
20220225 152345,20220225,152345,11.5,2
20220225 152350,20220225,152350,11.5,1
20220225 152350,20220225,152350,11.5,1
20220225 152419,20220225,152419,12.0,2
20220225 152419,20220225,152419,12.0,2
20220225 152518,20220225,152518,12.0,1
20220225 152518,20220225,152518,12.0,1
20220225 152535,20220225,152535,12.0,2
20220225 152535,20220225,152535,12.0,1
20220225 152535,20220225,152535,12.0,1
20220225 152545,20220225,152545,12.0,1
20220225 152545,20220225,152545,12.0,1
20220225 152643,20220225,152643,12.0,2
20220225 152643,20220225,152643,12.0,2
20220225 152707,20220225,152707,11.5,2
20220225 152707,20220225,152707,11.5,2
20220225 152710,20220225,152710,11.5,10
20220225 152710,20220225,152710,11.5,1
20220225 152710,20220225,152710,11.5,9
20220225 152721,20220225,152721,11.5,3
20220225 152721,20220225,152721,11.5,1
20220225 152721,20220225,152721,11.5,2
20220225 152727,20220225,152727,11.5,10
20220225 152727,20220225,152727,11.5,10
20220225 152852,20220225,152852,12.0,7
20220225 152852,20220225,152852,12.0,2
20220225 152852,20220225,152852,12.0,5
20220225 152922,20220225,152922,11.5,1
20220225 152922,20220225,152922,11.5,1
20220225 152934,20220225,152934,12.0,5
20220225 152934,20220225,152934,12.0,5
20220225 153028,20220225,153028,12.5,1
20220225 153028,20220225,153028,12.5,1
20220225 153123,20220225,153123,11.5,1
20220225 153123,20220225,153123,11.5,1
20220225 153123,20220225,153123,11.5,1
20220225 153123,20220225,153123,11.5,1
20220225 153124,20220225,153124,11.5,1
20220225 153124,20220225,153124,11.5,1
20220225 153124,20220225,153124,11.5,1
20220225 153124,20220225,153124,11.5,1
20220225 153125,20220225,153125,11.5,1
20220225 153125,20220225,153125,11.5,1
20220225 153125,20220225,153125,11.5,1
20220225 153125,20220225,153125,11.5,1
20220225 153125,20220225,153125,11.5,1
20220225 153125,20220225,153125,11.5,1
20220225 153126,20220225,153126,11.5,1
20220225 153126,20220225,153126,11.5,1
20220225 153142,20220225,153142,12.0,1
20220225 153142,20220225,153142,12.0,1
20220225 153203,20220225,153203,12.0,3
20220225 153203,20220225,153203,12.0,3
20220225 153325,20220225,153325,12.5,2
20220225 153325,20220225,153325,12.5,2
20220225 153333,20220225,153333,12.5,1
20220225 153333,20220225,153333,12.5,1
20220225 153450,20220225,153450,12.5,1
20220225 153450,20220225,153450,12.5,1
20220225 153521,20220225,153521,13.0,6
20220225 153521,20220225,153521,13.0,6
20220225 153606,20220225,153606,12.5,10
20220225 153606,20220225,153606,12.5,10
